"Definition Name","Quantity"
"","740"
"Acrylic Shield","1"
"Ball Bearing - 625 2RS","20"
"Base Panel","1"
"Black - Cable Cover","1"
"Black - Cable Cover Left","1"
"Black - Cable Cover Right","1"
"Black - Chain End Mount","2"
"Black - Chain Guide bracket","2"
"Black - Chain Guide bracket_Cable Guide","1"
"Black - Chain Link","43"
"Black - Chain Link Cover","43"
"Black - Chain Start Mount","2"
"Black - Knob.stl","1"
"Black - MKS DLC32 Box Cover","1"
"Black - MKS DLC32 Box Housing","1"
"Black - X Motor Cable Cover","1"
"Blue - Belt Holder","6"
"Blue - Dragchain guide mount (X)","2"
"Blue - Dragchain guide mount (Y)","2"
"Blue - Foot (L) V2","2"
"Blue - Foot (R) V2","2"
"Blue - LCD Box V2","1"
"Blue - LCD Support (L) V2","1"
"Blue - LCD Support (R) V2","1"
"Blue - Laser Mount","1"
"Blue - Laser Mount Motor Bracket","1"
"Blue - Laser Mount Plate","1"
"Blue - Laser Mount Suport","1"
"Blue - Spacer","4"
"Blue - X Chain Bracket","1"
"Blue - X Gantry Inner Mount Plate (L)","1"
"Blue - X Gantry Inner Mount Plate (R)","1"
"Blue - X Gantry Outer Mountl Plate (L)","1"
"Blue - X Gantry Outer Mountl Plate (R)","1"
"Blue - Y Chain Bracket","1"
"Cast Corner Bracket","8"
"Ceramic Tile","1"
"Cooler","2"
"Eccentric Spacer 6mm_1_1","4"
"Emergency Stop","1"
"Fan Grill","2"
"GT12 Aviation Connector","4"
"GT2 20T Pulley","3"
"Group#12","1"
"Group#13","1"
"Group#14","4"
"Group#15","1"
"Group#16","4"
"L Bracket (Double)","4"
"M3 Washer","2"
"M3x10 Screw","33"
"M3x12 Screw","4"
"M3x15 Screw","24"
"M5 Hex Locking Nut","10"
"M5x08 Flat Screw","16"
"M5x12 Flat Screw","52"
"M5x15 Flat Screw","4"
"M5x45 Flat Screw","10"
"M5x8 Flat Screw","12"
"M6 Nut","6"
"MakerBase DLC32 Board","1"
"MakerBase LCD","1"
"NEMA 17 Stepper Motor","3"
"Precision Shim","20"
"Sainsmart+CNC+Laser","1"
"Solid V Wheel","10"
"Spacer Ajust 6mm","4"
"T Nut","48"
"V-Slot 2040 - 500mm","2"
"V-Slot 2040 - 600mm","2"
"V-Slot 2040 - 646mm","1"
"Wing Nut M3","2"
"X-Belt","1"
"X-Dragchain Guide","2"
"Y-Belt","2"
"Y-Dragchain Guide","2"